                      Host          Server
4848      70.24.232.4:5001          search
10657  211.119.65.124:5001  researchmentor                        Host                                                                                                                                                               Server
6044       54.206.96.15:5001                     HP HTTP Server; HP Photosmart C309a series - CC335A; Serial Number: abc123; Vader Built:Wed Apr 15, 2009 11:40:58AM {abc123, ASIC id 0x00280004}
7018     217.67.225.131:5001                                                                                                                                                   HP-iLO-Server/1.30
10261    185.35.172.199:5001                                       HP HTTP Server; HP HP Officejet Pro 8620 - A7F65A; Serial Number: CN4C9EK2VX; Built:Wed Mar 06, 2019 05:46:39AM {FDP1CN1910AR}
10342     176.10.192.66:5001                                                                                                                                                   HP-iLO-Server/1.30
11118     37.159.148.91:5001                                                                                                                                                               DVR-HP
12008      103.95.1.189:5001                                                                                                                                                    HP_Compact_Server
12710    18.140.197.114:5001                         HP HTTP Server; Hewlett-Packard HP Designjet T520 36in - ABC123; Serial Number: 0123456789; Built:Tue Sep 09, 2014 08:32:54AM {012345678901}
16453      63.35.176.85:4443                                                                                                                                                        HP-Web-Server
17108      12.42.140.21:4443                                                                                                                                                   HP-iLO-Server/1.30
17164     87.127.197.61:4443                                                                                                                                                   HP-iLO-Server/1.30
18811    79.140.208.171:4443                                                                                                                                                   HP-iLO-Server/1.30
19817     34.218.251.95:4443                         HP HTTP Server; Hewlett-Packard HP Designjet T520 36in - ABC123; Serial Number: 0123456789; Built:Tue Sep 09, 2014 08:32:54AM {012345678901}
20331       81.173.49.2:4443                                                                                                                                                   HP-iLO-Server/1.30
20477    77.239.148.146:4443                           HP HTTP Server; HP PageWide Pro 477dw MFP - D3Q20B; Serial Number: CN886HX07Q; Built: Sat Sep 14, 2019 02:55:01PM {MAVEDWPP1N001.1937D.00}
20942     87.121.91.110:4443                                                                                                                                                   HP-iLO-Server/1.30
23579    213.241.14.254:4443                                                                                                                                                   HP-iLO-Server/1.30
23835    54.183.140.160:4443                                                                                                                                                       HP-ChaiSOE/1.0
